right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
243.207031,60.797496,27.093688,229.440989,57.537824,26.713852
242.763688,62.747723,27.126697,228.986759,59.484838,26.747049
242.286698,64.689923,27.160801,228.498998,61.423967,26.781706
241.809738,66.632085,27.195025,228.053762,63.373214,26.817546
241.346918,68.577519,27.232961,227.601329,65.320835,26.855095
240.904512,70.527732,27.274768,227.126860,67.263291,26.895836
240.429777,72.470241,27.315649,226.693433,69.215518,26.937736
239.973254,74.416987,27.358518,226.222913,71.159034,26.979715
239.498894,76.359451,27.402056,225.761213,73.104697,27.023471
239.053086,78.308634,27.446901,225.327258,75.056978,27.068214
238.594414,80.254691,27.494256,224.880308,77.006257,27.116534
238.120779,82.197147,27.541546,224.440209,78.957215,27.166333
237.649778,84.140183,27.589071,223.965954,80.900129,27.215392
237.171347,86.081384,27.637930,223.540693,82.854719,27.267249
236.738950,88.033424,27.688762,223.066957,84.797890,27.318902
236.266960,89.976048,27.738457,222.608678,86.744765,27.370984
235.790445,91.917527,27.790177,222.185934,88.700121,27.427329
235.328571,93.862411,27.843713,221.719515,90.645202,27.485367
234.853700,95.804180,27.897778,221.268083,92.593872,27.543934
234.391923,97.748969,27.958105,220.831910,94.546219,27.604256
233.941374,99.696349,28.019854,220.381603,96.495283,27.664883
233.475194,101.639961,28.081480,219.897916,98.436547,27.724667
233.015463,103.584851,28.145615,219.471608,100.391590,27.789526
232.550624,105.527942,28.210483,218.999019,102.336310,27.854635
232.099146,107.473649,28.277388,218.575801,104.293177,27.921826
231.636787,109.415659,28.346827,218.118805,106.243211,27.990619
231.174403,111.356731,28.416547,217.691923,108.201222,28.060424
230.708663,113.296324,28.489394,217.252581,110.156980,28.132973
230.237776,115.233591,28.563182,216.801662,112.111154,28.206977
229.778845,117.172736,28.636991,216.328335,114.061052,28.280944
229.322351,119.111782,28.709871,215.888586,116.019401,28.358516
228.867198,121.050044,28.782576,215.421400,117.972548,28.436211
228.395491,122.983699,28.856617,214.996219,119.936167,28.515275
227.948204,124.923171,28.934256,214.509545,121.885619,28.593584
227.494865,126.864408,29.011944,214.083686,123.845748,28.672622
227.007423,128.810553,29.089192,213.628479,125.786592,28.751812
226.528928,130.769619,29.166928,213.163214,127.713890,28.831680
226.070674,132.759055,29.246131,212.750434,129.626902,28.912006
225.584250,134.762331,29.322646,212.321097,131.515437,28.992758
225.102327,136.782710,29.401722,211.868049,133.382380,29.075880
224.553553,138.814637,29.483564,211.406954,135.218871,29.159331
223.980093,140.860746,29.566139,210.936986,137.032577,29.242830
223.333902,142.902072,29.646838,210.435111,138.821398,29.328904
222.645073,144.959723,29.729276,209.889667,140.567545,29.414767
221.879593,147.011514,29.813715,209.287095,142.272826,29.505840
221.057000,149.056730,29.898132,208.588644,143.924382,29.596164
220.168450,151.095128,29.983885,207.876456,145.547278,29.682435
219.205576,153.101671,30.071134,207.118186,147.145304,29.766526
218.194436,155.085281,30.158120,206.346263,148.737200,29.852575
217.155206,157.052311,30.243292,205.526575,150.311442,29.937407
216.028474,158.967781,30.328172,204.630083,151.846888,30.020655
214.845366,160.847697,30.413740,203.702694,153.368438,30.100960
213.565944,162.659907,30.497275,202.694837,154.842573,30.181396
212.265421,164.454094,30.582417,201.622581,156.273075,30.264392
210.876149,166.178575,30.664347,200.508704,157.673397,30.342681
209.450855,167.870359,30.746217,199.330841,159.023482,30.417134
207.974880,169.515770,30.829586,198.134296,160.358061,30.496537
206.440870,171.105828,30.912656,196.884574,161.644474,30.580175
204.867727,172.655509,30.997322,195.588506,162.886030,30.662690
203.256397,174.164474,31.081545,194.271730,164.105810,30.743236
201.589579,175.611677,31.163863,192.917421,165.284790,30.825592
199.882581,177.011241,31.245318,191.515173,166.407245,30.907154
198.142979,178.370620,31.324372,190.074818,167.478908,30.989149
196.341029,179.646705,31.403269,188.613893,168.521170,31.071500
194.493636,180.856713,31.482742,187.117921,169.511446,31.153704
192.621202,182.027565,31.564851,185.592607,170.452792,31.235880
190.707197,183.130273,31.648754,184.044847,171.354612,31.321335
188.754331,184.165299,31.731828,182.471883,172.208654,31.403573
186.777663,185.152369,31.812670,180.872499,173.010495,31.483945
184.770363,186.068713,31.892817,179.224299,173.713122,31.563111
182.732529,186.884442,31.970537,177.561891,174.406826,31.643158
180.710495,187.676245,32.046999,175.846681,175.024629,31.727271
178.682566,188.404850,32.120646,174.117874,175.650046,31.812667
176.677413,189.110878,32.192400,172.342912,176.233643,31.895989
174.679442,189.761687,32.257780,170.542780,176.820611,31.979673
172.697266,190.405469,32.321460,168.721866,177.403458,32.063691
170.742759,191.044508,32.382112,166.871399,177.992715,32.147651
168.808026,191.668447,32.440192,164.989820,178.564455,32.231394
166.885657,192.273728,32.496879,163.103526,179.184164,32.316569
164.992674,192.874903,32.549395,161.181927,179.786991,32.400764
163.124338,193.479424,32.600268,159.240467,180.398602,32.482367
161.265156,194.065824,32.650958,157.285811,181.009809,32.564337
159.421184,194.660804,32.703087,155.326470,181.642692,32.646076
157.571635,195.258825,32.756145,153.372344,182.270596,32.726046
155.713033,195.848908,32.809490,151.420646,182.887724,32.805722
153.839565,196.438383,32.864692,149.481132,183.501401,32.882035
151.960232,197.046469,32.921049,147.554670,184.120809,32.955474
150.066542,197.639089,32.977926,145.634406,184.733836,33.028637
148.157622,198.228960,33.036336,143.728613,185.348726,33.101633
146.243276,198.837654,33.095497,141.831098,185.952752,33.174313
144.320767,199.447222,33.155708,139.947609,186.571707,33.246586
142.387344,200.063486,33.218078,138.069102,187.163904,33.317114
140.444499,200.677448,33.279709,136.201052,187.758401,33.386776
138.487636,201.258431,33.336107,134.332951,188.339968,33.451394
136.538509,201.862276,33.391816,132.472753,188.945791,33.513430
134.604606,202.492928,33.446242,130.601944,189.541326,33.575803
132.665183,203.090050,33.500538,128.728709,190.146794,33.637868
130.741238,203.710978,33.552657,126.844812,190.746915,33.698660
128.816715,204.305534,33.603777,124.952236,191.344675,33.757461
126.899880,204.908574,33.652297,123.052489,191.936894,33.815512
124.992229,205.514313,33.697527,121.143990,192.528800,33.870416
123.093580,206.125216,33.740933,119.237539,193.152850,33.923765
121.193854,206.714414,33.780447,117.319284,193.754588,33.973606
119.309518,207.325485,33.819807,115.397931,194.374100,34.022226
117.426059,207.914066,33.862801,113.464243,194.976301,34.076991
115.556267,208.528814,33.906038,111.531942,195.599568,34.132771
113.686774,209.114932,33.949664,109.592116,196.225912,34.186744
111.826119,209.705218,33.993078,107.647634,196.859842,34.239583
109.986384,210.342103,34.035418,105.704457,197.513634,34.290161
108.137693,210.924561,34.078821,103.764266,198.202003,34.339897
106.309291,211.545278,34.121503,101.789876,198.813471,34.392216
104.482991,212.157671,34.164154,99.847357,199.531934,34.441778
