right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
-394.626024,-391.227083,19.399409,-387.262288,-391.258501,19.305789
-394.637522,-393.225535,19.494825,-387.272101,-393.256009,19.400404
-394.650315,-395.223981,19.590036,-387.283151,-395.253532,19.494697
-394.663642,-397.222433,19.685026,-387.294866,-397.251064,19.588640
-394.677002,-399.220887,19.779782,-387.306997,-399.248610,19.682216
-394.689397,-401.219349,19.874281,-387.318977,-401.246173,19.775410
-394.701512,-403.217811,19.968515,-387.331002,-403.243756,19.868227
-394.713578,-405.216279,20.062468,-387.343155,-405.241354,19.960687
-394.726199,-407.214750,20.156132,-387.355679,-407.238972,20.052806
-394.738302,-409.213230,20.249471,-387.368440,-409.236605,20.144606
-394.749987,-411.211707,20.342474,-387.381340,-411.234268,20.236102
-394.761109,-413.210198,20.435131,-387.394194,-413.231948,20.327306
-394.770961,-415.208695,20.527428,-387.407280,-415.229658,20.418239
-394.779560,-417.207208,20.619360,-387.420458,-417.227391,20.508918
-394.786892,-419.205730,20.710917,-387.433464,-419.225155,20.599356
-394.792374,-421.204264,20.802080,-387.446474,-421.222950,20.689579
-394.796463,-423.202801,20.892847,-387.459515,-423.220782,20.779598
-394.799599,-425.201354,20.983221,-387.472753,-425.218643,20.869426
-394.802202,-427.199911,21.073210,-387.485733,-427.216545,20.959057
-394.804759,-429.198474,21.162832,-387.498645,-429.214483,21.048489
-394.808090,-431.197041,21.252108,-387.511870,-431.212458,21.137715
-394.811441,-433.195604,21.341032,-387.525031,-433.210476,21.226725
-394.814896,-435.194163,21.429608,-387.538226,-435.208537,21.315519
-394.818147,-437.192715,21.517846,-387.551652,-437.206637,21.404090
-394.824505,-439.191256,21.605802,-387.565006,-439.204772,21.492437
-394.834940,-441.189773,21.693523,-387.578341,-441.202948,21.580546
-394.851386,-443.188259,21.781061,-387.591652,-443.201160,21.668416
-394.872591,-445.186702,21.868434,-387.605322,-445.199412,21.756041
-394.896431,-447.185112,21.955649,-387.619158,-447.197696,21.843410
-394.920105,-449.183482,22.042704,-387.632897,-449.196012,21.930514
-394.946218,-451.181793,22.129676,-387.646561,-451.194360,22.017365
-394.973779,-453.180053,22.216608,-387.660292,-453.192735,22.103961
-395.002585,-455.178246,22.303553,-387.674427,-455.191138,22.190305
-395.031541,-457.176368,22.390554,-387.689124,-457.189567,22.276401
-395.060666,-459.174411,22.477678,-387.704266,-459.188023,22.362237
-395.090597,-461.172371,22.564984,-387.719451,-461.186508,22.447811
-395.118245,-463.170246,22.652465,-387.736132,-463.185019,22.533155
-395.142559,-465.168035,22.740122,-387.754534,-465.183552,22.618301
-395.161534,-467.165737,22.827945,-387.775173,-467.182115,22.703263
-395.176655,-469.163354,22.915973,-387.797668,-469.180704,22.788041
-395.190016,-471.160879,23.004258,-387.821235,-471.179326,22.872616
-395.204945,-473.158311,23.092840,-387.845068,-473.177980,22.956986
-395.217819,-475.155651,23.181621,-387.870015,-475.176672,23.041184
-395.229325,-477.152919,23.270543,-387.895614,-477.175397,23.125238
-395.239268,-479.150115,23.359536,-387.921289,-479.174160,23.209164
-395.248313,-481.147241,23.448533,-387.947705,-481.172967,23.293001
-395.256879,-483.144302,23.537481,-387.974368,-483.171818,23.376746
-395.265672,-485.141305,23.626323,-388.000557,-485.170716,23.460392
-395.274710,-487.138265,23.715006,-388.026999,-487.169659,23.543949
-395.284249,-489.135177,23.803465,-388.053621,-489.168653,23.627416
-395.294650,-491.132070,23.891640,-388.080330,-491.167689,23.710793
-395.306288,-493.128927,23.979465,-388.107525,-493.166774,23.794096
-395.318705,-495.125767,24.066864,-388.134940,-495.165903,23.877315
-395.331430,-497.122603,24.153772,-388.162246,-497.165080,23.960436
