,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
162,485.449176,51.719391,-4.191321,0.122035,1.528012,18.916450,-5.827666,21.493460,9.965380
163,488.453128,51.798566,-3.786910,0.147113,1.188279,20.169443,-5.307373,19.472586,10.023677
164,491.463104,51.858972,-3.303217,0.173566,0.877964,21.307980,-4.704293,16.999590,10.082146
165,494.479314,51.902479,-2.736829,0.199395,0.601229,22.307998,-4.052113,14.103931,10.140972
166,497.499264,51.931011,-2.092051,0.221702,0.360897,23.144506,-3.392782,10.837818,10.200282
167,500.518531,51.946514,-1.383073,0.238458,0.158273,23.791764,-2.760097,7.214507,10.260004
168,503.532990,51.951043,-0.630768,0.248775,-0.007058,24.223916,-2.179107,3.209173,10.319905
169,506.539518,51.946728,0.140586,0.252054,-0.137316,24.415747,-1.671104,-1.219742,10.379680
170,509.536482,51.935642,0.904456,0.247658,-0.236447,24.343391,-1.132355,3.489794,10.439001
171,512.524244,51.919860,1.633439,0.235377,-0.302737,24.547690,-0.577644,-1.762870,10.497543
172,515.505609,51.901486,2.303418,0.216073,-0.335970,24.446268,-0.135386,-6.801727,10.555075
173,518.484707,51.882284,2.898756,0.192249,-0.343621,24.061899,0.272309,-4.281770,10.611586
174,521.464374,51.863576,3.414883,0.167033,-0.328461,23.823519,0.619344,-10.843381,10.667259
175,524.445896,51.846436,3.853959,0.141873,-0.294373,23.226720,0.904627,-3.204133,10.722297
176,527.430074,51.831726,4.218916,0.117068,-0.245032,23.051956,1.204967,2.594246,10.776840
177,530.417329,51.820222,4.513003,0.092977,-0.179768,23.192466,1.437606,1.012984,10.831002
178,533.407745,51.812622,4.739632,0.069653,-0.102311,23.247045,1.582211,3.031718,10.884882
179,536.401125,51.809410,4.901646,0.047022,-0.017374,23.409795,1.754572,-1.993068,10.938565
180,539.397040,51.810996,5.001349,0.024902,0.076601,23.303046,1.753386,-7.330613,10.992125
181,542.394881,51.817604,5.039902,0.002897,0.170414,22.910833,2.393591,-3.976969,11.045628
182,545.393905,51.830149,5.017349,-0.019165,0.298491,22.698032,4.037980,4.661400,11.099137
183,548.393290,51.851934,4.933630,-0.041074,0.514810,22.947749,3.988895,1.815546,11.152708
184,551.392180,51.885322,4.789045,-0.062799,0.728965,23.045222,3.220819,-6.236471,11.206395
185,554.389735,51.929255,4.583064,-0.084767,0.902436,22.709330,3.968570,-2.327392,11.260255
186,557.385181,51.983877,4.313770,-0.107205,1.117109,22.583433,3.350435,-7.230511,11.314348
187,560.377858,52.049627,3.978817,-0.129986,1.299428,22.189974,2.158511,-14.084056,11.368765
188,563.367684,52.124250,3.576339,-0.151956,1.417980,21.416438,7.337334,-1.723422,11.423687
189,566.357036,52.214537,3.109631,-0.169912,1.826361,21.320516,9.638792,2.049643,11.479346
190,569.349584,52.332980,2.592854,-0.180910,2.370419,21.436207,8.371565,-3.754218,11.535790
191,572.347424,52.481871,2.048013,-0.184289,2.848118,21.221983,8.971035,-4.211491,11.592852
192,575.350689,52.660202,1.498946,-0.180348,3.363246,20.980154,7.708656,-9.218361,11.650273
193,578.358058,52.866368,0.969258,-0.169484,3.806566,20.450012,6.419626,-13.865268,11.707783
194,581.367250,53.095239,0.481137,-0.152190,4.174742,19.654816,5.112439,-18.179550,11.765134
195,584.375515,53.341478,0.054639,-0.129151,4.466121,18.618690,3.796873,-22.167251,11.822129
196,587.380315,53.599932,-0.294976,-0.102425,4.680691,17.365963,2.485093,-25.799580,11.878641
197,590.380795,53.866061,-0.562264,-0.075653,4.819915,15.920577,1.197332,-29.039300,11.934665
