y,x
-58816.91478,9154.79602
-58913.545857,9180.484346
-59010.176935,9206.172672
-59106.808012,9231.860999
-59203.43909,9257.549325
-59300.070168,9283.237651
-59394.524358,9316.002659
-59488.978548,9348.767667
-59583.432738,9381.532675
-59677.886928,9414.297682
-59772.341118,9447.06269
-59866.795309,9479.827698
-59961.249499,9512.592706
-60055.703689,9545.357714
-60150.157879,9578.122721
-60244.612069,9610.887729
-60339.06626,9643.652737
-60433.52045,9676.417745
-60527.97464,9709.182753
-60622.42883,9741.947761
-60716.88302,9774.712768
-60811.337211,9807.477776
-60905.791401,9840.242784
-61000.245591,9873.007792
-61094.699781,9905.7728
-61189.153971,9938.537807
-61283.608161,9971.302815
-61378.062352,10004.067823
-61472.516542,10036.832831
-61566.970732,10069.597839
-61661.424922,10102.362846
-61755.879112,10135.127854
-61850.333303,10167.892862
-61944.787493,10200.65787
-62039.241683,10233.422878
-62133.695873,10266.187886
-62228.150063,10298.952893
-62322.604253,10331.717901
-62417.058444,10364.482909
-62511.512634,10397.247917
-62605.966824,10430.012925
-62700.421014,10462.777932
-62794.875204,10495.54294
-62889.329395,10528.307948
-62983.783585,10561.072956
-63078.237775,10593.837964
-63172.691965,10626.602972
-63267.146155,10659.367979
-63361.600345,10692.132987
-63456.054536,10724.897995
-63550.508726,10757.663003
-63644.962916,10790.428011
-63739.417106,10823.193018
-63833.871296,10855.958026
-63928.325487,10888.723034
-64022.779677,10921.488042
-64117.233867,10954.25305
-64211.688057,10987.018058
-64306.142247,11019.783065
-64400.596437,11052.548073
-64495.050628,11085.313081
-64589.504818,11118.078089
-64683.959008,11150.843097
-64778.413198,11183.608104
-64872.867388,11216.373112
-64967.321579,11249.13812
-65061.775769,11281.903128
-65156.229959,11314.668136
-65250.684149,11347.433143
-65345.138339,11380.198151
-65439.592529,11412.963159
-65534.04672,11445.728167
-65628.50091,11478.493175
-65721.046125,11516.281821
-65813.59134,11554.070468
-65906.136555,11591.859114
-65998.681771,11629.64776
-66091.226986,11667.436407
-66183.772201,11705.225053
-66276.317416,11743.0137
-66368.862631,11780.802346
-66461.407847,11818.590992
-66553.953062,11856.379639
-66646.498277,11894.168285
-66739.043492,11931.956932
-66831.588707,11969.745578
-66924.133923,12007.534224
-67016.679138,12045.322871
-67109.224353,12083.111517
-67201.769568,12120.900164
-67294.314783,12158.68881
-67386.859999,12196.477456
-67479.405214,12234.266103
-67571.950429,12272.054749
-67664.495644,12309.843396
-67757.040859,12347.632042
-67849.586075,12385.420688
-67942.13129,12423.209335
-68034.676505,12460.997981
-68127.22172,12498.786628
-68219.766936,12536.575274
-68312.312151,12574.36392
-68404.857366,12612.152567
-68495.879949,12653.429692
-68586.902532,12694.706816
-68677.925115,12735.983941
-68768.947698,12777.261066
-68859.970281,12818.538191
-68950.992864,12859.815316
-69042.015447,12901.092441
-69133.03803,12942.369565
-69224.060613,12983.64669
-69315.083196,13024.923815
-69406.105779,13066.20094
-69497.128362,13107.478065
-69588.150945,13148.75519
-69679.173528,13190.032315
-69770.196111,13231.309439
-69861.218694,13272.586564
-69952.241277,13313.863689
-70043.26386,13355.140814
-70134.286443,13396.417939
-70225.309026,13437.695064
-70316.331609,13478.972188
-70407.354192,13520.249313
-70498.376775,13561.526438
-70589.399358,13602.803563
-70680.421941,13644.080688
-70771.444524,13685.357813
-70862.467107,13726.634937
-70953.48969,13767.912062
-71044.512273,13809.189187
-71135.534856,13850.466312
-71226.557439,13891.743437
-71317.580022,13933.020562
-71408.602605,13974.297687
