Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME,s_dot,n_dot,s_ddot,n_ddot
185.8322549,152.0609012,-96.5875835,0.1419313,2.32e-05,7.1940916,-7.2737235,185.9175538,-4.6364235,152.7167481,-101.1773861,0.1459935,0.0040622,7.1e-06,59.2570131,0.0249308945708884,-27.8447101,59.2570131,0.0249308945708884,-27.8447101,3.11062842711284,59.25015094281544,0.24071317659338168,-27.83250999717259,-0.16963400706916532
188.8295756,155.0280694,-96.1634903,0.1419993,2.02e-05,7.1889126,-7.2837611,188.9152275,-4.6243348,155.6825294,-100.7412795,0.1460032,0.0040039,2.3e-06,57.8312623,0.0076922462681862,-27.0840371,57.8312623,0.0076922462681862,-27.0840371,3.16183208012004,57.825397187183334,0.23154997245057288,-27.05653839506118,-0.16829989771889267
191.8268889,157.9952068,-95.7392063,0.1420524,1.38e-05,7.1808689,-7.2908668,191.9128224,-4.6124189,158.6482298,-100.305164,0.1460074,0.003955,8e-07,56.4099366,0.0025456647577728,-26.343113,56.4099366,0.0025456647577728,-26.343113,3.21431043288273,56.40590510400953,0.22310071762743816,-26.305646323222376,-0.1455503307590015
194.824186,160.9623151,-95.3148004,0.1420819,5.8e-06,7.1703422,-7.2948341,194.910288,-4.6006242,161.6138015,-99.8690631,0.1460082,0.0039263,2e-07,54.9923249,0.0006048311595814,-25.6166314,54.9923249,0.0006048311595814,-25.6166314,3.26812380207003,54.99043368047633,0.21591581050023995,-25.578253029086532,-0.11751286017154573
197.8214583,163.9293956,-94.890346,0.1420871,-2.3e-06,7.1593569,-7.2950342,197.907622,-4.5888815,164.5792431,-99.4329809,0.1460083,0.0039213,1e-07,53.5779115,0.0002870592600701,-24.9087911,53.5779115,0.0002870592600701,-24.9087911,3.32333845713984,53.578065063440505,0.21009452594095712,-24.87331576162816,-0.09078520402571175
200.8186968,166.8964502,-94.4659163,0.1420679,-1.04e-05,7.1487421,-7.2905078,200.904815,-4.5771181,167.544545,-98.9969188,0.1460085,0.0039406,1e-07,52.1658863,0.0002721279693464,-24.2186208,52.1658863,0.0002721279693464,-24.2186208,3.38002628188779,52.167964576941294,0.20556435954100383,-24.18593519814594,-0.06686130768964149
203.8158928,169.8634802,-94.041585,0.1420245,-1.86e-05,7.1386453,-7.2799317,203.9018593,-4.5652608,170.5096997,-98.5608777,0.1460087,0.0039843,1e-07,50.755405,0.0002576111136714,-23.5457376,50.755405,0.0002576111136714,-23.5457376,3.43826582031639,50.759312307153046,0.20222422510082824,-23.515943464040916,-0.04563644955479596
206.8130374,172.8304874,-93.6174252,0.1419567,-2.67e-05,7.1285584,-7.2613742,206.898747,-4.5532367,173.4746994,-98.1248586,0.146009,0.0040523,1e-07,49.3455497,0.0002434983275195,-22.8901128,49.3455497,0.0002434983275195,-22.8901128,3.49814312532989,49.351144234258385,0.19996242377992587,-22.863258580903473,-0.027492963376219606
209.8101219,175.7974733,-93.1935106,0.1418646,-3.48e-05,7.119789,-7.2318285,209.8954701,-4.5409728,176.4395362,-97.6888625,0.1460094,0.0041448,1e-07,47.9352961,0.0002297792612194,-22.2496316,47.9352961,0.0002297792612194,-22.2496316,3.55975285252224,47.942460499803026,0.19868164640331853,-22.2254041576947,-0.012015784495113854
212.8071375,178.7644395,-92.7699143,0.1417482,-4.29e-05,7.1125218,-7.1869624,212.8920208,-4.528396,179.4042022,-97.2528904,0.1460098,0.0042616,2e-07,46.5236317,0.0004328896613114,-21.6224641,46.5236317,0.0004328896613114,-21.6224641,3.62319949077616,46.532248973055594,0.1982645087300738,-21.600752435216627,0.0011580595572283359
215.8040755,181.7313876,-92.34671,0.1416074,-5.1e-05,7.1070484,-7.1281415,215.8883914,-4.5154333,182.3686897,-96.816943,0.1460103,0.0044029,3.9e-06,45.1095387,0.0079359948787345,-20.9469202,45.1095387,0.0079359948787345,-20.9469202,3.688598745295,45.11949190145108,0.1986121462405448,-20.92763526309282,0.019509307635946216
218.8009271,184.6983192,-91.9239709,0.1414423,-5.91e-05,7.1038052,-7.06449,218.8845742,-4.5020117,185.3329913,-96.3810215,0.146033,0.0045906,5.76e-05,43.6960968,0.109978495231966,-19.9831545,43.6960968,0.109978495231966,-19.9831545,3.7560760581851,43.707265527281166,0.20059059744039934,-19.966402845120676,0.13111316136529427
221.7976836,187.6652359,-91.5017704,0.1412529,-6.73e-05,7.102983,-7.0092767,221.880562,-4.4879256,188.2970804,-95.9449955,0.1463556,0.0051027,0.0003071,42.3037859,0.54958932358237,-18.5425893,42.3037859,0.54958932358237,-18.5425893,3.82575028797573,42.31601617698521,0.21586259155367846,-18.530116721203832,0.5754393337919664
224.7943365,190.6321392,-91.0801821,0.1410392,-7.54e-05,7.1051495,-6.9714375,224.8763576,-4.4714374,191.2607167,-95.5072175,0.1478731,0.0068339,0.0009382,40.9696314,1.57477873597406,-16.6136701,40.9696314,1.57477873597406,-16.6136701,3.89770110813565,40.98249181674227,0.2799801847313255,-16.6110684534642,1.5878031645211723
